City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,24.09,88,20,4.63,TO,1682082267
1,parad,47.9232,20.0297,15.47,50,100,3.74,HU,1682082268
2,port alfred,-33.5906,26.891,20.1,59,6,3.58,ZA,1682082269
3,hermanus,-34.4187,19.2345,16.56,52,100,3.14,ZA,1682082271
4,povenets,62.8487,34.8262,4.08,93,100,2.55,RU,1682082272
5,ushuaia,-54.8,-68.3,2.81,81,75,10.8,AR,1682082237
6,hobart,-42.8794,147.3294,16.92,68,75,4.63,AU,1682082154
7,bagaha,27.1,84.0833,29.76,28,100,1.06,IN,1682082277
8,rikitea,-23.1203,-134.9692,25.47,81,100,5.38,PF,1682082278
9,rocha,-34.4833,-54.3333,16.16,60,100,4.43,UY,1682082181
10,klaksvik,62.2266,-6.589,9.51,75,0,1.2,FO,1682082281
11,albany,42.6001,-73.9662,12.66,55,79,1.34,US,1682082276
12,kalmunai,7.4167,81.8167,28.84,77,22,3.41,LK,1682082283
13,alugan,12.2188,125.4808,27.39,79,100,2.01,PH,1682082285
14,port elizabeth,-33.918,25.5701,21.17,57,75,6.69,ZA,1682082286
15,kavieng,-2.5744,150.7967,27.77,79,72,5.01,PG,1682082287
16,khatanga,71.9667,102.5,-16.03,97,53,2.86,RU,1682082288
17,micheweni,-4.9667,39.8333,28.94,73,99,6.18,TZ,1682082289
18,punta arenas,-53.15,-70.9167,4.06,70,40,7.72,CL,1682082028
19,nikolskoye,59.7035,30.7861,13.94,69,100,1.4,RU,1682082291
20,cabo san lucas,22.8909,-109.9124,20.84,72,100,1.0,MX,1682082004
21,atuona,-9.8,-139.0333,27.66,68,39,5.39,PF,1682082294
22,thompson,55.7435,-97.8558,-8.91,73,40,3.09,CA,1682082295
23,buta,2.7858,24.73,28.33,67,100,2.11,CD,1682082296
24,princeton,25.5384,-80.4089,27.01,76,0,2.06,US,1682082297
25,truth or consequences,33.1284,-107.2528,8.84,20,4,2.64,US,1682082010
26,portobelo,9.55,-79.65,24.5,78,100,2.73,PA,1682082299
27,saratoga springs,43.0831,-73.7846,12.64,54,91,1.34,US,1682082300
28,seoul,37.5683,126.9778,16.78,21,0,4.12,KR,1682081958
29,beringovskiy,63.05,179.3167,-5.83,86,100,1.23,RU,1682082304
30,pevek,69.7008,170.3133,-10.19,75,70,1.96,RU,1682082305
